# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-014723.log
0|6524|INIT |DLL_PROCESS_ATTACH pid=14072
3|6524|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
20670|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1E pCoPTag=0158839C ts=0 pData=0217B040
20685|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
20685|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001F
20686|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1F pCoPTag=0158839C ts=0 pData=0217B390
20687|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1F pCoPTag=0158839C ts=0 pData=0217B360
20688|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
20689|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000020
20689|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x20 pCoPTag=015883A0 ts=0 pData=0217B200
20690|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x20 pCoPTag=015883A0 ts=0 pData=0217B3C0
20691|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1E pCoPTag=0158839C ts=0 pData=0217B200
20692|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
20693|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000021
20694|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x21 pCoPTag=0158839C ts=0 pData=0217B3D0
20705|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
20706|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000022
20706|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x22 pCoPTag=0158926C ts=0 pData=0217B4E0
20707|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x22 pCoPTag=0158926C ts=0 pData=0217B450
20708|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
20709|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000023
20709|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0x23 pCoPTag=01589270 ts=0 pData=0217B450
20710|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0x23 pCoPTag=01589270 ts=0 pData=0217B5B0
20712|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
20713|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000024
20713|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x24 pCoPTag=0158926C ts=0 pData=0217B480
20724|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
20724|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000025
20725|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x25 pCoPTag=0158926C ts=0 pData=0217B6B0
