# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-200949.log
0|16448|INIT |DLL_PROCESS_ATTACH pid=18304
4|16448|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
33309|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000018
33310|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x18 hCop=0x0158839C ts=0
33323|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
33323|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000019
33323|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x19 hCop=0x0158839C ts=0
33324|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x19 hCop=0x0158839C ts=0
33325|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
33325|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001A
33325|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1A hCop=0x015883A0 ts=0
33326|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1A hCop=0x015883A0 ts=0
33327|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x18 hCop=0x0158839C ts=0
33327|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
33327|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001B
33328|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1B hCop=0x0158839C ts=0
33343|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
33343|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001C
33343|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1C hCop=0x0158839C ts=0
33344|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1C hCop=0x0158839C ts=0
33345|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
33345|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001D
33345|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1D hCop=0x015883A0 ts=0
33346|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x1D hCop=0x015883A0 ts=0
33346|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1B hCop=0x0158839C ts=0
33347|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
33348|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001E
33348|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1E hCop=0x0158839C ts=0
33362|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
33363|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001F
33363|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1F hCop=0x0158839C ts=0
33364|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1F hCop=0x0158839C ts=0
33364|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
33365|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000020
33365|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x20 hCop=0x015883A0 ts=0
33366|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x20 hCop=0x015883A0 ts=0
33366|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1E hCop=0x0158839C ts=0
33367|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
33368|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000021
33368|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x21 hCop=0x0158839C ts=0
33387|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
33387|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000022
33388|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x22 hCop=0x0158926C ts=0
33388|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x22 hCop=0x0158926C ts=0
33389|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
33390|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000023
33390|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x23 hCop=0x01589270 ts=0
33391|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x23 hCop=0x01589270 ts=0
33391|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
33392|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000024
33393|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x24 hCop=0x0158926C ts=0
